Sport,Home Team,Away Team,Start Time,Competition,Category
Football,Leicester,Chelsea,2024-11-23 15:30:00,Premier League,England
Football,Aston Villa,Crystal Palace,2024-11-23 18:00:00,Premier League,England
Football,Arsenal,Nottingham Forest,2024-11-23 18:00:00,Premier League,England
Football,Fulham,Wolves,2024-11-23 18:00:00,Premier League,England
Football,Manchester City,Tottenham,2024-11-23 20:30:00,Premier League,England
Football,Atletico Madrid,Deportivo Alaves,2024-11-23 18:15:00,LaLiga,Spain
Football,Celta Vigo,Barcelona,2024-11-23 23:00:00,LaLiga,Spain
Football,Hellas Verona,Inter Milano,2024-11-23 17:00:00,Serie A,Italy
Football,AC Milan,Juventus Turin,2024-11-23 20:00:00,Serie A,Italy
Football,Parma Calcio,Atalanta BC,2024-11-23 22:45:00,Serie A,Italy
Football,VfB Stuttgart,Bochum,2024-11-23 17:30:00,Bundesliga,Germany
Football,Leverkusen,Heidenheim,2024-11-23 17:30:00,Bundesliga,Germany
Football,Borussia Dortmund,Freiburg,2024-11-23 17:30:00,Bundesliga,Germany
Football,Hoffenheim,LEIPZIG,2024-11-23 17:30:00,Bundesliga,Germany
Football,Karlovac 1919,Krizevci,2024-11-23 17:00:00,Druga NL,Croatia
Football,Triglav Kranj,Ilirija Ljubljana,2024-11-26 18:00:00,2. Liga,Slovenia
Football,FC Orenburg,Zenit Saint Petersburg,2024-11-23 12:00:00,Premier League,Russia
Football,Sydney FC,Western Sydney Wanderers,2024-11-23 11:35:00,A-League,Australia
Football,Wofoo Tai Po,Hong Kong FC,2024-11-23 10:00:00,Premier League,"Hong Kong, China"
Football,AFK Csikszereda Miercurea Ciuc,CS Mioveni,2024-11-23 12:00:00,Liga 2,Romania
Football,Csm Resita,CS Unirea Ungheni 2018,2024-11-23 12:00:00,Liga 2,Romania
Football,Putrajaya Athletic FC,Sabah,2024-11-23 12:00:00,Piala Malaysia,Malaysia
Football,City Stars,Tusker,2024-11-23 13:00:00,Premier League,Kenya
Football,Kakamega Homeboyz,Bandari,2024-11-23 14:00:00,Premier League,Kenya
Football,Muranga Seal,Shabana FC,2024-11-23 15:00:00,Premier League,Kenya
Football,CSKA Moscow,FK Rostov,2024-11-23 14:15:00,Premier League,Russia
